tf_set, minimal_dosage_PS, minimal_dosage_PR, ts, tr, theta2 

48.000000 158265391.056545 15066111.332512 2.000000 2.000000 0.503390
51.000000 146553447.051823 17202681.582245 2.000000 2.000000 0.587547
54.000000 137055972.884975 17630110.937220 2.000000 2.000000 0.674212
57.000000 147234879.196371 18993369.714778 2.000000 2.000000 0.582123
60.000000 132396229.566815 19125665.480730 2.000000 2.000000 0.725023
63.000000 132410691.871191 20010037.938064 2.000000 2.000000 0.725023
66.000000 113951748.266772 20748406.389596 2.000000 2.000000 0.975569
69.000000 117613168.925846 21635619.438612 2.000000 2.000000 0.928482
72.000000 97656583.403604 21836460.525760 2.000000 2.000000 1.353916
75.000000 90831922.503243 22445947.785330 2.000000 2.000000 1.522710
78.000000 87553976.425081 23307604.563984 2.000000 2.000000 1.642537
81.000000 90551375.471268 24244725.314317 2.000000 2.000000 1.580267
84.000000 86232342.890358 25405901.164663 2.000000 2.000000 1.728506
87.000000 82567325.143590 25778634.213678 2.000000 2.000000 1.926052
90.000000 76470934.850420 26114587.336899 2.000000 2.000000 2.261998
93.000000 82978362.503298 27924418.810592 2.000000 2.000000 2.023729
96.000000 81810071.553964 28794917.560050 2.000000 2.000000 2.152820
