tf_set, minimal_dosage_PS, minimal_dosage_PR 

48.000000 166178660.609372 15819416.899138
51.000000 146553447.051823 17202681.582245
54.000000 137055972.884975 17630110.937220
57.000000 147234879.196371 18993369.714778
60.000000 132396229.566815 19125665.480730
63.000000 132410691.871191 20010037.938064
66.000000 113951748.266772 20748406.389596
69.000000 117613168.925846 21635619.438612
72.000000 97656583.403604 21836460.525760
75.000000 90831922.503243 22445947.785330
78.000000 87553976.425081 23307604.563984
81.000000 90551375.471268 24244725.314317
84.000000 86232342.890358 25405901.164663
87.000000 82567325.143590 25778634.213678
90.000000 76470934.850420 26114587.336899
93.000000 82978362.503298 27924418.810592
96.000000 81810071.553964 28794917.560050
